,1,2,3,4,5,6,7,8,9,10,11,12,13
1418,3.29E-01,3.01E-01,2.66E-01,2.21E-01,1.75E-01,1.33E-01,9.61E-02,6.98E-02,5.32E-02,4.57E-02,4.32E-02,4.26E-02,4.21E-02
1416.1,3.38E-01,3.09E-01,2.74E-01,2.27E-01,1.80E-01,1.36E-01,9.73E-02,6.96E-02,5.25E-02,4.53E-02,4.30E-02,4.23E-02,4.19E-02
1414.2,3.30E-01,3.03E-01,2.68E-01,2.22E-01,1.75E-01,1.32E-01,9.33E-02,6.59E-02,4.96E-02,4.42E-02,4.26E-02,4.19E-02,4.18E-02
1412.2,3.08E-01,2.83E-01,2.50E-01,2.08E-01,1.63E-01,1.23E-01,8.73E-02,6.20E-02,4.71E-02,4.32E-02,4.22E-02,4.15E-02,4.13E-02
1410.3,2.82E-01,2.58E-01,2.29E-01,1.90E-01,1.50E-01,1.13E-01,8.17E-02,5.92E-02,4.61E-02,4.29E-02,4.20E-02,4.15E-02,4.12E-02
1408.4,2.56E-01,2.35E-01,2.08E-01,1.74E-01,1.38E-01,1.05E-01,7.71E-02,5.70E-02,4.55E-02,4.27E-02,4.18E-02,4.16E-02,4.12E-02
1406.4,2.33E-01,2.14E-01,1.91E-01,1.60E-01,1.29E-01,9.97E-02,7.44E-02,5.65E-02,4.62E-02,4.31E-02,4.22E-02,4.19E-02,4.15E-02
1404.5,2.12E-01,1.96E-01,1.75E-01,1.49E-01,1.21E-01,9.54E-02,7.27E-02,5.68E-02,4.76E-02,4.38E-02,4.24E-02,4.20E-02,4.17E-02
1402.6,1.96E-01,1.83E-01,1.65E-01,1.41E-01,1.17E-01,9.43E-02,7.35E-02,5.93E-02,5.04E-02,4.55E-02,4.35E-02,4.30E-02,4.27E-02
1400.7,1.87E-01,1.75E-01,1.60E-01,1.39E-01,1.17E-01,9.65E-02,7.71E-02,6.38E-02,5.49E-02,4.82E-02,4.52E-02,4.45E-02,4.44E-02
1398.7,1.84E-01,1.75E-01,1.62E-01,1.43E-01,1.24E-01,1.06E-01,8.71E-02,7.42E-02,6.42E-02,5.38E-02,4.85E-02,4.77E-02,4.76E-02
1396.8,1.87E-01,1.79E-01,1.68E-01,1.52E-01,1.35E-01,1.18E-01,9.90E-02,8.63E-02,7.44E-02,5.93E-02,5.19E-02,5.09E-02,5.05E-02
1394.9,2.04E-01,1.99E-01,1.90E-01,1.78E-01,1.64E-01,1.48E-01,1.28E-01,1.14E-01,9.77E-02,7.16E-02,5.89E-02,5.76E-02,5.67E-02
